IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
172.67.26.137,184,209,195,0
172.67.6.14,182,213,195,0
104.25.151.86,184,200,195,0
104.25.153.96,183,206,195,0
104.22.60.180,185,205,195,0
104.22.66.72,174,218,195,0
104.25.241.227,176,239,195,0
162.159.43.176,182,212,195,0
104.25.75.28,184,225,195,0
172.67.43.4,184,230,195,0
104.24.171.71,179,206,195,0
172.67.96.255,185,218,195,0
172.67.55.10,181,210,195,0
104.25.194.62,187,214,195,0
104.27.120.81,185,226,195,0
104.24.29.49,177,222,195,0
104.24.59.124,187,204,195,0
104.27.72.36,184,212,195,0
104.25.152.156,183,208,195,0
104.27.108.232,187,204,195,0
104.25.221.251,181,208,195,0
104.22.74.51,181,216,195,0
104.23.118.25,169,299,196,0
104.26.6.172,182,207,196,0
104.24.176.227,185,213,196,0
104.25.21.150,175,236,196,0
104.27.79.168,177,262,196,0
172.67.111.34,185,202,196,0
172.67.121.71,183,226,196,0
104.27.100.115,176,239,196,0
172.67.70.58,185,205,196,0
104.24.15.143,184,215,196,0
104.22.69.244,176,226,196,0
104.25.179.102,183,211,196,0
104.27.46.61,181,214,196,0
104.24.55.146,187,207,196,0
104.25.215.119,185,216,196,0
104.25.131.22,186,216,196,0
104.25.126.149,183,223,196,0
104.25.192.241,181,224,196,0
104.23.117.226,185,223,196,0
172.67.104.105,186,201,196,0
104.25.94.182,186,218,196,0
104.24.47.13,180,205,196,0
104.27.112.249,183,222,196,0
104.22.64.165,181,210,196,0
104.22.52.195,179,222,196,0
172.67.12.61,187,209,196,0
104.27.106.77,179,215,196,0
104.25.255.148,182,240,196,0
104.22.49.148,182,237,196,0
104.24.216.51,176,251,196,0
104.25.148.205,186,209,196,0
104.24.236.98,181,226,196,0
104.23.107.245,173,231,196,0
172.67.10.209,177,236,196,0
104.25.24.183,182,205,196,0
172.67.103.4,187,237,196,0
104.25.76.250,183,208,196,0
104.24.2.50,188,204,196,0
104.24.205.61,181,222,196,0
104.24.23.234,190,203,196,0
104.25.16.117,177,216,196,0
104.24.76.182,181,217,196,0
104.24.232.97,185,214,196,0
104.23.98.83,178,222,197,0
104.27.58.252,179,206,197,0
104.24.143.53,182,215,197,0
104.22.63.122,184,214,197,0
172.67.61.127,186,208,197,0
104.27.207.15,184,205,197,0
104.24.229.150,184,205,197,0
162.159.140.75,174,255,197,0
104.25.157.186,184,221,197,0
104.22.44.225,181,216,197,0
104.23.134.159,170,255,197,0
104.24.91.11,190,222,197,0
104.25.173.84,183,213,197,0
104.25.184.138,184,220,197,0
162.159.143.4,185,221,197,0
104.25.219.179,181,209,197,0
172.67.58.250,181,256,197,0
104.26.11.100,185,227,197,0
172.67.93.155,185,220,197,0
104.24.248.32,180,213,197,0
104.26.15.79,165,329,197,0
104.25.229.211,181,228,197,0
104.25.59.242,175,220,197,0
104.25.19.25,191,203,197,0
104.25.247.36,188,204,197,0
104.25.107.26,181,238,197,0
104.25.100.237,185,212,197,0
104.25.235.192,178,210,197,0
104.27.6.32,183,255,197,0
172.64.228.71,183,238,197,0
104.24.48.216,185,258,197,0
104.25.146.182,186,208,197,0
104.24.207.75,182,228,197,0
104.24.18.102,180,208,197,0
104.27.103.171,186,226,198,0
104.27.75.61,185,225,198,0
104.24.214.113,183,219,198,0
104.24.81.109,185,229,198,0
172.67.46.51,174,242,198,0
104.22.42.113,179,221,198,0
172.67.57.84,183,213,198,0
104.24.50.110,181,214,198,0
104.27.17.53,185,231,198,0
104.24.3.62,182,222,198,0
104.27.113.251,180,229,198,0
104.25.159.158,190,211,198,0
104.25.185.14,180,238,198,0
104.27.71.21,183,217,198,0
104.24.212.51,185,213,198,0
172.67.47.133,184,213,198,0
104.25.104.205,177,247,198,0
104.27.64.251,186,232,198,0
104.23.142.11,180,230,198,0
172.67.45.176,191,211,198,0
172.67.13.43,181,226,198,0
104.24.245.218,185,223,198,0
104.25.251.162,184,210,198,0
104.27.192.146,187,252,198,0
104.27.53.237,186,214,198,0
104.23.128.50,183,219,198,0
104.22.24.40,183,212,198,0
104.25.196.20,181,220,198,0
104.25.34.200,176,216,199,0
104.25.11.61,181,211,199,0
104.23.135.22,182,215,199,0
104.25.90.120,190,209,199,0
104.20.0.223,184,220,199,0
104.27.78.153,184,231,199,0
104.24.35.171,177,230,199,0
104.24.6.184,184,213,199,0
172.67.94.104,190,209,199,0
104.24.194.174,182,214,199,0
104.24.57.108,185,221,199,0
104.25.1.67,193,213,199,0
104.22.47.251,183,235,199,0
172.67.88.4,174,241,199,0
104.25.53.141,186,219,199,0
104.25.244.61,189,219,199,0
104.22.71.202,183,222,199,0
104.25.4.192,180,243,199,0
104.22.45.77,183,224,199,0
104.25.32.169,189,214,199,0
104.22.13.120,183,240,199,0
104.27.27.119,185,214,199,0
104.27.193.133,192,211,199,0
104.22.50.238,182,219,199,0
172.67.99.96,189,219,199,0
104.22.78.186,183,211,200,0
104.27.82.161,188,219,200,0
104.25.26.23,175,258,200,0
104.24.69.131,182,218,200,0
104.25.163.254,181,232,200,0
104.25.172.241,185,228,200,0
172.67.36.66,181,219,200,0
104.22.34.163,192,216,200,0
104.25.68.163,192,210,200,0
104.27.34.119,192,211,200,0
104.25.118.161,190,216,200,0
104.27.56.26,186,211,200,0
162.159.134.175,185,222,200,0
104.23.109.228,192,213,200,0
104.25.30.229,184,223,200,0
104.25.187.222,190,216,200,0
104.25.169.135,189,228,200,0
104.27.126.135,182,233,200,0
104.25.77.251,190,215,200,0
104.27.96.114,188,211,200,0
104.25.181.26,184,245,200,0
104.24.58.36,185,219,200,0
104.25.206.31,183,216,200,0
104.24.249.207,191,208,200,0
104.23.122.33,181,235,200,0
172.67.127.66,185,216,200,0
104.24.251.208,182,217,200,0
104.24.157.36,185,218,201,0
104.24.247.172,186,212,201,0
104.23.143.7,183,220,201,0
104.27.40.243,191,229,201,0
104.27.74.64,190,210,201,0
104.25.141.108,187,213,201,0
104.24.162.44,191,210,201,0
104.27.85.22,185,219,201,0
104.24.66.177,188,210,201,0
104.24.185.40,192,211,201,0
104.25.198.232,185,230,201,0
104.22.15.38,184,218,201,0
104.25.91.128,178,252,201,0
104.24.33.34,182,238,201,0
104.25.65.139,183,214,201,0
104.25.183.161,186,220,201,0
104.24.42.13,185,216,201,0
172.67.44.70,189,228,201,0
104.25.252.239,188,207,201,0
104.25.83.134,179,285,201,0
104.25.175.230,180,227,201,0
104.24.8.36,187,218,201,0
104.25.143.181,189,214,201,0
162.159.129.55,193,211,202,0
104.24.88.11,191,207,202,0
104.22.3.22,191,215,202,0
104.25.61.4,181,263,202,0
104.22.10.211,188,219,202,0
172.67.87.221,188,226,202,0
104.24.40.250,181,248,202,0
